country,postal_area_code,city,state_code,state_name,latitude_e6,longitude_e6,population
US,10001,New York,NY,New York,40712800,-74006000,8478000
US,90012,Los Angeles,CA,California,34052200,-118243700,3820000
US,60602,Chicago,IL,Illinois,41878100,-87629800,2665000
US,77002,Houston,TX,Texas,29760400,-95369800,2314000
US,85004,Phoenix,AZ,Arizona,33448400,-112074000,1650000
US,19107,Philadelphia,PA,Pennsylvania,39952600,-75165200,1550000
US,78205,San Antonio,TX,Texas,29424100,-98493600,1495000
US,92101,San Diego,CA,California,32715700,-117161100,1388000
US,75201,Dallas,TX,Texas,32776700,-96797000,1300000
US,78701,Austin,TX,Texas,30267200,-97743100,979000
US,76102,Fort Worth,TX,Texas,32755500,-97330800,978000
US,32202,Jacksonville,FL,Florida,30332200,-81655700,971000
US,95113,San Jose,CA,California,37338200,-121886300,969000
US,43215,Columbus,OH,Ohio,39961200,-82998800,907000
US,28202,Charlotte,NC,North Carolina,35227100,-80843100,897000
US,46204,Indianapolis,IN,Indiana,39768400,-86158100,887000
US,94103,San Francisco,CA,California,37774900,-122419400,808000
US,98104,Seattle,WA,Washington,47606200,-122332100,755000
US,80202,Denver,CO,Colorado,39739200,-104990300,716000
US,37203,Nashville,TN,Tennessee,36162700,-86781600,687000
US,73102,Oklahoma City,OK,Oklahoma,35467600,-97516400,694000
US,20001,Washington,DC,District of Columbia,38907200,-77036900,671000
US,89101,Las Vegas,NV,Nevada,36169900,-115139800,656000
US,02108,Boston,MA,Massachusetts,42360100,-71058900,654000
US,97204,Portland,OR,Oregon,45515200,-122678400,635000
US,48226,Detroit,MI,Michigan,42331400,-83045800,633000
US,40202,Louisville,KY,Kentucky,38252700,-85758500,624000
US,38103,Memphis,TN,Tennessee,35149500,-90049000,618000
US,21202,Baltimore,MD,Maryland,39290400,-76612200,569000
US,53202,Milwaukee,WI,Wisconsin,43038900,-87906500,561000
US,87102,Albuquerque,NM,New Mexico,35084400,-106650400,562000
US,85701,Tucson,AZ,Arizona,32222600,-110974700,543000
US,93721,Fresno,CA,California,36737800,-119787100,545000
US,95814,Sacramento,CA,California,38581600,-121494400,526000
US,64106,Kansas City,MO,Missouri,39099700,-94578600,510000
US,30303,Atlanta,GA,Georgia,33749000,-84388000,499000
US,68102,Omaha,NE,Nebraska,41256500,-95934500,487000
US,80903,Colorado Springs,CO,Colorado,38833900,-104821400,483000
US,27601,Raleigh,NC,North Carolina,35779600,-78638200,469000
US,23451,Virginia Beach,VA,Virginia,36852900,-75978000,455000
US,33130,Miami,FL,Florida,25761700,-80191800,442000
US,94607,Oakland,CA,California,37804400,-122271200,440000
US,55401,Minneapolis,MN,Minnesota,44977800,-93265000,429000
US,74103,Tulsa,OK,Oklahoma,36154000,-95992800,411000
US,33602,Tampa,FL,Florida,27950600,-82457200,398000
US,67202,Wichita,KS,Kansas,37687200,-97330100,397000
US,70112,New Orleans,LA,Louisiana,29951100,-90071500,383000
US,44113,Cleveland,OH,Ohio,41499300,-81694400,372000
US,96813,Honolulu,HI,Hawaii,21306900,-157858300,350000
US,07102,Newark,NJ,New Jersey,40735700,-74172400,305000
US,99501,Anchorage,AK,Alaska,61218100,-149900300,291000
US,14202,Buffalo,NY,New York,42886400,-78878400,278000
US,83702,Boise,ID,Idaho,43615000,-116202300,237000
US,23219,Richmond,VA,Virginia,37540700,-77436000,226000
US,50309,Des Moines,IA,Iowa,41586800,-93625000,214000
US,72201,Little Rock,AR,Arkansas,34746500,-92289600,202000
US,84101,Salt Lake City,UT,Utah,40760800,-111891000,200000
US,35203,Birmingham,AL,Alabama,33518600,-86810400,197000
US,57104,Sioux Falls,SD,South Dakota,43546000,-96731300,197000
US,02903,Providence,RI,Rhode Island,41824000,-71412800,190000
US,39201,Jackson,MS,Mississippi,32298800,-90184800,149000
US,06604,Bridgeport,CT,Connecticut,41179200,-73189400,148000
US,29201,Columbia,SC,South Carolina,34000700,-81034800,137000
US,58102,Fargo,ND,North Dakota,46877200,-96789800,126000
US,59101,Billings,MT,Montana,45783300,-108500700,118000
US,03101,Manchester,NH,New Hampshire,42995600,-71454800,115000
US,19801,Wilmington,DE,Delaware,39739100,-75539800,71000
US,04101,Portland,ME,Maine,43659100,-70256800,68000
US,82001,Cheyenne,WY,Wyoming,41140000,-104820200,65000
US,25301,Charleston,WV,West Virginia,38349800,-81632600,46000
US,05401,Burlington,VT,Vermont,44475900,-73212100,44000
GB,EC1A,London,LND,Greater London,51507400,-127800,8982000
CA,M5H,Toronto,ON,Ontario,43653200,-79383200,2794000
MX,06000,Mexico City,CMX,Mexico City,19432600,-99133200,9209000
IN,400001,Mumbai,MH,Maharashtra,19076000,72877700,12442000
CN,200000,Shanghai,SH,Shanghai,31230400,121473700,24870000
KR,04524,Seoul,SEO,Seoul,37566500,126978000,9776000
BR,01000,Sao Paulo,SP,Sao Paulo,-23550500,-46633300,12330000
DE,10115,Berlin,BE,Berlin,52520000,13405000,3645000
JP,100-0001,Tokyo,TK,Tokyo,35676200,139650300,13960000
FR,75001,Paris,IDF,Ile-de-France,48856600,2352200,2161000
ES,28001,Madrid,MD,Madrid,40416800,-3703800,3223000
IT,00118,Rome,RM,Lazio,41902800,12496400,2761000
NL,1011,Amsterdam,NH,North Holland,52367600,4904100,872000
AU,2000,Sydney,NSW,New South Wales,-33868800,151209300,5312000
RU,101000,Moscow,MSK,Moscow,55755800,37617300,12615000
